Data Series,2023 Dec,2023 Nov,2023 Oct,2023 Sep,2023 Aug,2023 Jul
Under 1 Day,259568,240351,236035,227788,248805,269994
1 Day,189997,181139,175731,166190,190444,202319
2 Days,162209,177977,181721,167772,197076,205910
3 Days,168788,168898,189215,172901,210238,216598
4 Days,117981,105229,126509,114319,162079,160111
5 Days,64785,56366,69110,62421,98284,98065
6 Days,38500,31919,37922,37647,52957,58609
7 Days,25082,21058,24014,25955,32983,37887
8-10 Days,31446,26251,29618,29818,39565,43611
11-14 Days,19370,15348,16519,16837,24048,25987
15 Days & Over,36116,32110,33901,34642,51712,47266
15-29 Days,25795,22262,23288,23452,35832,35359
30-59 Days,7191,6749,7300,7601,12256,8826
60 Days & Over,3130,3099,3313,3589,3624,3081