height,sex,edu,age,earnings
189,male,16,45,50000
166,female,16,58,60000
162,female,16,29,30000
160,female,16,91,50000
161,female,17,39,51000
164,female,15,26,9000
157,female,12,49,29000
185,male,17,46,32000
183,male,15,21,2000
183,male,12,26,27000
177,male,16,65,6530
173,male,11,34,30000
172,male,12,27,12000
166,female,12,51,12000
167,female,16,35,22000
172,male,12,58,17000
174,female,14,29,40000
177,male,13,44,44000
163,female,12,55,7000
186,male,13,35,53000
158,female,13,51,5000
160,female,14,21,14000
171,male,14,22,5500
166,female,12,41,40000
183,male,12,45,34000
160,female,12,35,10000
163,female,16,60,27000
182,male,16,38,50000
195,male,16,33,41000
162,Female,14,25,15000
162,female,12,33,25000
182,male,17,39,75000
172,male,17,31,27000
164,female,12,26,12000
155,female,14,78,7500
170,female,14,31,30000
166,female,12,57,21000
161,female,14,26,27000
169,female,15,65,3000
165,female,12,30,25000
165,female,12,41,24000
170,female,18,29,32000
173,female,17,30,10000
154,female,12,21,11000
165,female,13,32,18700
157,female,12,29,20000
182,male,10,18,3500
171,male,8,56,13000
178,male,12,65,25000
177,male,17,41,21000
172,female,17,49,34000
153,female,12,65,6000
180,male,12,28,17000
181,male,12,32,35000
185,male,13,18,4000
173,female,14,55,14000
169,female,12,57,10000
176,male,16,29,25000
161,female,14,27,16000
157,male,14,28,16000
163,female,14,43,16500
162,female,9,68,4000
170,female,9,52,3840
181,male,12,39,22000
151,female,16,53,200
167,female,16,27,26000
169,female,15,21,2500
164,female,14,39,17000
179,female,13,22,8000
167,female,13,68,12000
157,female,12,47,10000
167,female,15,67,10000
182,male,12,39,15000
170,female,8,39,2400
173,male,12,32,30000
178,male,12,33,30000
157,female,12,38,10000
160,female,13,26,5000
167,female,13,63,12000
179,female,10,61,20000
174,female,12,36,20000
178,male,14,23,20000
168,female,12,20,1200
174,female,16,32,700
178,male,16,27,20000
155,female,12,22,10000
161,female,12,73,30000
163,female,14,56,40000
171,male,12,89,25000
154,female,17,79,10000
175,female,18,63,60000
172,female,12,66,18000
164,female,12,33,16040
170,Female,14,30,15000
175,male,17,23,10000
170,female,13,43,33000
173,female,12,30,18000
161,female,12,37,15000
181,male,12,22,21000
163,female,17,43,21000
174,male,11,37,37000
171,female,17,44,38000
167,female,14,43,17000
195,male,16,30,32000
170,female,12,58,27500
158,female,12,44,16500
170,female,18,35,25000
155,female,18,43,27000
163,female,12,28,5000
156,female,16,38,70000
159,female,12,40,5000
173,male,16,24,5000
162,female,15,26,20000
184,male,15,21,4000
163,female,16,35,60000
156,female,13,31,5000
189,male,12,38,30000
178,male,14,35,70000
181,male,16,41,50000
159,female,12,39,44000
163,female,14,43,30000
156,female,16,40,10000
179,female,17,42,23000
181,male,17,62,45000
181,male,14,31,15000
178,female,14,71,4000
171,male,14,31,17000
162,female,12,32,30000
170,female,12,30,27500
157,female,8,69,5688
158,female,13,56,18000
173,male,13,44,43000
156,female,14,44,32000
174,female,18,56,10000
188,male,13,45,60000
172,female,12,50,21000
158,female,16,22,2400
168,female,15,28,1000
173,male,12,27,27000
152,female,14,28,6600
173,male,8,43,16000
182,male,12,26,90000
169,female,12,42,8000
174,male,10,32,20000
174,female,12,18,15000
175,female,12,60,12000
163,female,16,46,24000
165,female,14,39,20000
154,female,12,46,19000
183,male,12,49,10000
166,female,16,34,40000
173,male,14,64,25000
179,male,12,24,25000
181,male,14,32,25000
181,male,16,61,19000
173,male,16,48,44000
153,female,14,49,15000
159,female,12,36,17000
173,male,12,56,24000
163,female,12,37,23000
177,male,12,74,13000
173,male,16,46,65000
155,female,12,63,7000
174,male,18,63,40000
168,female,17,43,15000
177,male,16,25,20000
180,male,12,50,20000
165,female,12,42,20000
168,female,12,49,25000
178,male,13,37,49000
157,female,12,65,25000
168,female,14,57,11000
155,female,15,38,16000
182,male,14,43,35000
189,male,18,45,125000
169,female,12,47,23000
168,female,16,28,17000
157,female,12,41,27000
182,male,14,32,70000
164,female,15,47,35000
153,female,12,62,10000
157,female,15,39,35000
169,female,12,38,15000
162,female,12,39,12000
181,male,12,68,8000
166,female,12,50,8000
185,male,18,50,35000
174,male,11,51,45000
164,female,14,22,15000
155,female,12,77,15000
170,female,18,51,24000
157,female,13,32,25000
159,female,14,54,25000
171,male,10,28,20000
173,female,12,24,24000
183,male,16,46,44000
178,male,12,38,69000
177,male,18,44,62000
171,male,14,32,32000
161,female,12,33,20000
168,female,18,35,32000
167,female,17,50,25000
180,male,18,45,170000
169,male,16,33,35000
192,male,16,38,40000
175,male,14,30,33000
166,female,12,22,18000
157,female,13,43,30000
157,female,12,31,26000
159,female,12,21,5000
157,female,16,73,20000
154,female,12,30,17000
165,female,14,28,32000
184,male,14,22,15000
182,male,14,55,50000
162,female,12,39,8000
180,male,14,51,40000
184,male,15,41,40000
168,male,12,34,32750
165,female,14,69,20000
164,female,15,39,36000
157,female,12,64,6000
167,female,14,34,12000
171,male,14,63,60000
163,female,13,44,40000
161,female,12,38,43000
171,female,16,34,45000
173,female,18,39,6000
162,female,10,82,8000
164,female,13,39,20000
169,male,12,23,17000
165,female,12,32,2000
164,male,12,28,65000
182,male,12,41,50000
174,female,12,38,11000
189,male,18,30,35000
161,male,12,33,27000
163,female,12,61,3500
173,male,12,37,42000
171,female,18,29,20000
171,female,12,29,15000
185,male,12,21,10000
179,male,8,78,6000
165,female,16,23,17000
174,male,16,65,35000
195,male,14,28,28000
172,female,12,33,15000
157,female,17,24,20000
163,female,12,29,20000
171,male,12,42,10500
178,male,16,22,13000
157,female,12,52,10000
160,female,12,37,3000
158,female,14,29,24000
174,female,13,35,17000
163,female,12,48,11000
175,female,14,40,32000
149,female,15,26,17000
168,female,12,35,3000
158,female,12,21,2100
191,male,11,34,3192
161,female,17,26,17000
164,female,13,28,30000
177,male,12,32,15000
172,female,16,42,24000
165,female,14,67,10000
176,male,8,53,50000
183,male,16,53,50000
161,female,17,49,20000
159,female,18,54,30000
187,female,14,45,22000
191,male,12,24,27000
165,female,12,38,4000
168,female,17,26,17500
169,female,14,28,16500
163,female,16,39,28000
167,female,18,50,52000
163,female,16,29,15000
159,female,13,32,19000
184,male,12,23,27000
182,male,8,58,15000
182,male,14,33,15000
163,female,12,55,14500
163,female,13,30,24000
172,male,15,36,18000
158,female,12,68,4000
174,female,13,57,4000
153,female,12,36,700
165,female,12,91,24000
193,male,12,39,27000
184,female,12,35,12000
157,female,18,47,22000
157,female,13,36,30000
179,male,12,61,35000
188,male,12,42,20000
166,female,16,32,32000
161,female,12,31,6000
170,female,12,39,12000
161,female,12,31,10000
164,female,12,18,1000
161,female,15,71,12000
165,female,12,36,16000
161,female,16,33,25000
177,female,12,27,25000
173,male,12,30,32000
169,male,14,43,35000
164,female,12,28,6000
175,male,14,44,80000
173,female,14,25,20000
167,female,17,38,1000
181,male,13,38,28000
162,male,16,23,26000
187,male,12,24,27000
157,female,13,41,18000
166,female,12,59,2000
176,male,12,66,20000
168,female,16,48,6000
169,male,11,63,25000
186,male,12,29,12000
194,male,12,57,12000
177,male,14,76,30000
160,female,15,22,4000
159,female,13,37,26000
178,male,12,35,23000
181,male,12,33,21000
166,female,12,62,25000
179,male,16,75,18000
161,female,13,44,4000
162,female,12,22,23900
163,female,18,40,35000
169,male,14,30,26000
169,male,16,36,25000
173,female,13,27,23500
166,female,12,22,12000
170,female,12,20,15000
185,male,17,23,3000
161,female,12,67,6000
181,male,12,69,14000
161,female,16,31,15000
179,male,16,48,175000
186,male,18,25,1000
164,female,14,63,10000
167,male,13,82,45000
167,female,12,81,15000
150,female,13,41,20000
178,male,16,30,35000
182,male,16,28,40000
163,female,12,72,35000
168,female,16,54,50000
177,male,18,57,100000
174,male,13,28,35000
172,female,12,35,24000
188,male,17,43,35000
184,male,16,74,38000
171,male,12,52,30000
163,female,12,39,5000
170,male,18,38,148000
177,male,12,32,30000
162,female,15,31,6500
156,female,16,37,3000
176,male,18,69,23000
174,male,17,41,40000
183,male,14,39,30000
160,female,12,37,14000
175,female,12,34,15000
163,female,18,36,26000
180,female,12,25,8000
162,female,16,27,24000
168,male,8,67,5124
155,female,15,25,10000
172,female,16,32,12000
174,male,17,34,50000
162,female,13,26,23000
167,male,14,34,40000
157,female,13,26,6000
166,female,16,30,5000
168,male,18,37,110000
183,male,13,32,41000
159,female,13,78,23000
179,male,12,23,21000
158,female,12,29,4000
180,male,12,36,25000
179,male,18,46,30000
162,female,11,51,14000
161,female,12,35,6000
164,female,12,46,14000
179,male,12,27,43000
157,female,15,33,25000
184,male,12,66,40000
172,male,17,40,65000
193,male,15,32,16000
167,female,12,71,8000
163,female,15,39,20000
153,female,14,72,14000
173,male,12,74,45000
155,female,11,72,8000
168,male,12,28,12000
160,female,14,31,8000
159,female,15,32,16000
187,male,15,73,6000
178,male,12,32,19000
173,female,13,39,21000
177,female,18,46,43000
175,male,15,21,35000
179,male,10,75,8000
159,female,14,41,21000
165,female,12,30,5800
176,male,12,46,17000
172,male,14,49,24000
158,female,11,71,5000
168,female,12,23,11000
166,male,13,27,10000
177,male,14,36,40000
179,male,12,47,40000
167,female,14,29,24000
174,male,16,26,24000
173,male,16,33,20000
177,male,18,50,60000
164,female,13,47,11000
164,female,15,40,5000
166,female,16,30,27000
194,male,16,41,89000
178,male,14,28,40000
164,female,16,26,15000
163,female,14,20,1000
164,female,12,60,22000
162,female,8,48,12000
159,female,16,28,22000
146,female,12,56,40000
158,female,16,44,40000
164,female,14,53,35000
162,female,12,28,7000
158,female,12,37,14000
163,female,12,56,15000
167,female,13,34,6000
176,female,12,41,11000
163,female,13,31,10000
180,male,14,41,20000
158,female,12,73,7000
173,male,9,46,38000
172,male,9,58,29000
157,female,10,44,20000
159,female,12,57,8000
175,male,16,51,36000
170,female,12,44,1500
163,female,18,29,42000
179,male,12,22,25000
175,male,10,20,13000
176,male,11,51,30000
174,male,12,23,7000
152,female,12,48,31000
169,female,12,42,15000
169,male,16,49,50000
168,male,15,20,5000
178,female,12,18,600
164,female,8,51,14000
152,female,18,35,40000
173,male,18,36,24000
185,male,12,24,22000
183,male,8,36,20000
162,female,12,38,20112
171,male,13,67,12000
171,female,13,40,41000
182,male,9,50,13000
185,male,16,31,60000
179,male,16,25,24000
178,male,16,36,38000
181,female,14,27,3000
168,female,12,30,13000
190,male,12,21,5000
153,female,14,37,20000
184,male,12,28,22000
190,male,9,55,28000
152,female,12,41,22000
187,male,12,44,30000
164,female,12,32,30000
170,male,16,31,30000
155,female,12,69,32000
176,female,17,43,26000
164,female,14,34,22000
179,male,12,33,25000
172,female,10,24,11000
158,female,12,53,13000
162,female,15,42,10000
172,female,12,45,12000
161,female,11,64,7000
185,male,14,37,57000
185,male,16,37,36000
176,male,14,29,29000
173,female,13,19,8000
179,male,11,18,3000
168,female,16,41,20000
169,male,12,57,33000
173,female,12,68,15000
179,male,12,33,16000
157,female,12,78,5000
167,female,14,43,8000
160,female,16,34,32000
189,male,12,24,14500
169,female,12,29,13000
159,female,9,25,7000
164,female,18,65,50000
176,female,12,35,12000
182,male,14,61,19000
157,female,12,55,9000
164,female,12,35,20000
182,male,18,35,55000
165,female,12,40,10000
160,female,12,19,13000
163,female,13,31,20000
182,male,12,26,30000
162,female,12,34,12000
178,female,13,33,26000
165,female,12,27,12500
163,female,12,29,8000
163,female,16,32,15000
170,male,14,25,65000
186,male,10,21,25000
184,male,14,21,8000
164,male,14,21,15000
162,female,16,40,12000
170,female,13,37,35000
169,male,16,31,40000
188,male,12,22,29000
161,female,13,31,15000
187,male,12,36,20000
188,male,6,62,3000
160,female,16,19,1000
158,female,11,23,8000
159,female,12,18,5000
170,female,16,27,25000
174,male,12,57,20000
185,male,12,34,30000
160,female,12,35,12000
171,female,14,32,10000
176,male,12,19,16000
181,male,12,29,45000
183,male,14,54,40000
178,male,14,81,25000
163,female,14,52,19000
163,female,16,30,17600
172,male,12,67,7000
189,male,12,32,30000
157,female,11,47,18000
165,female,16,47,25000
152,female,5,62,6000
176,male,18,42,70000
154,female,16,34,15000
165,female,17,33,25000
168,female,16,28,35000
178,male,16,24,18000
182,male,15,30,28000
162,female,11,21,15000
181,male,14,28,22000
186,male,12,30,35000
163,female,15,46,18000
172,male,14,37,35000
163,female,12,21,16400
167,male,16,37,22000
169,female,16,58,30000
163,female,12,27,17000
163,female,14,36,25000
158,female,12,51,10000
175,male,12,37,40000
161,female,12,63,12500
184,male,15,45,35000
189,male,12,49,105000
177,male,18,40,100000
176,male,12,51,21000
163,female,14,56,10000
183,male,12,26,33000
176,male,18,25,26000
160,female,10,78,60000
181,male,16,45,18000
151,female,8,61,15000
174,male,13,20,5000
196,male,17,42,60000
174,female,14,69,12000
177,male,18,38,28000
176,male,18,43,42000
159,female,12,33,2000
185,male,18,33,20000
168,male,15,40,28000
183,male,17,62,10000
183,male,12,31,31000
175,female,13,37,17000
171,female,12,39,16000
167,female,15,38,35000
171,female,12,26,3000
172,female,18,39,16000
164,female,15,42,35000
156,female,17,33,27000
176,male,17,29,25000
177,male,16,41,40000
168,female,16,43,45000
167,male,12,23,14000
169,female,14,37,25000
182,male,12,42,40000
175,male,12,35,34000
167,male,12,34,40000
176,male,14,28,35000
153,female,12,51,12000
164,female,17,43,30000
156,female,12,40,23000
170,female,12,30,2000
171,male,14,25,20000
172,female,9,62,10000
167,female,16,43,60000
189,male,16,41,12000
166,female,18,61,25000
160,female,14,73,22000
173,male,17,25,8000
169,female,16,21,2000
166,female,16,26,18600
156,female,14,20,20000
184,male,18,37,100000
157,female,15,40,50000
177,male,12,42,27000
148,female,12,58,1000
174,male,12,20,18000
171,female,14,23,17000
162,female,12,74,10000
179,male,14,35,14000
184,male,14,66,7200
161,female,17,39,33000
168,male,12,34,23000
165,female,12,41,10000
154,male,12,24,22000
154,female,12,19,13000
171,female,12,31,33000
186,male,12,36,36000
179,female,14,32,10000
164,female,12,60,6000
169,female,12,43,12000
158,female,11,47,10000
171,female,12,45,21000
174,male,12,32,26000
168,female,12,50,22000
168,female,15,54,23000
169,male,15,24,20000
166,female,13,38,10000
163,female,12,71,15000
183,male,14,24,7000
163,female,12,38,15000
164,female,16,34,26000
183,male,11,31,10000
180,male,14,20,3000
163,female,17,41,27000
162,female,17,25,28000
170,female,12,27,15000
191,male,18,30,55000
167,female,17,26,20000
171,female,12,44,8500
179,male,16,30,30000
174,female,12,31,20000
179,male,6,75,22000
169,male,16,26,25000
179,male,8,22,3000
159,female,12,49,16000
155,female,12,39,10000
165,female,12,28,15000
171,male,12,46,28000
165,male,14,35,31500
167,male,18,52,95000
169,male,12,40,38000
189,male,12,41,30000
187,male,16,42,35900
168,female,13,22,12000
175,female,16,25,10000
168,female,18,44,45000
189,male,16,56,40000
184,male,12,27,21500
167,male,12,62,14000
169,male,17,54,38000
164,female,12,18,1000
169,male,12,73,14000
164,female,12,31,15000
172,female,13,42,24000
163,female,16,23,4500
163,female,16,63,18000
161,female,12,20,14000
175,female,12,28,10000
171,female,12,32,9500
160,female,15,66,11000
170,male,12,67,17000
152,female,13,28,6000
157,female,11,58,2500
184,male,16,41,40000
169,male,16,39,25000
169,female,15,60,28000
169,female,12,45,33000
151,female,8,64,4000
166,male,16,30,4100
174,female,12,82,25000
182,male,12,28,32000
162,female,8,58,13000
164,male,8,27,8000
163,female,12,38,17000
170,female,12,77,15000
168,male,13,32,18000
186,male,12,24,12000
188,male,7,49,7000
165,female,14,22,1200
160,male,12,21,14000
161,female,12,40,17000
169,male,12,42,30000
178,male,12,53,25000
167,female,12,33,22000
161,female,12,21,15000
186,male,12,91,27000
160,female,16,26,20000
175,female,11,34,9000
186,male,12,30,17000
172,female,12,46,1800
162,female,12,46,18000
159,female,18,42,25000
178,male,16,41,20000
163,female,15,40,75000
167,female,12,40,3500
155,female,12,71,36000
183,male,12,25,30000
164,female,13,78,25000
163,female,14,26,1000
173,male,12,66,60000
188,male,13,76,35000
169,male,13,33,9000
177,male,9,84,35000
168,female,10,58,11000
181,male,12,52,12000
180,male,12,43,30000
182,male,7,57,19000
189,male,9,61,9000
190,male,16,29,30000
183,male,12,32,9000
167,female,16,30,15000
164,female,12,31,8000
169,female,10,75,10000
182,male,12,37,33000
153,female,12,28,12000
162,female,15,37,18000
165,female,13,61,30000
164,female,12,32,12500
157,female,12,36,10000
173,male,13,71,8500
187,male,14,46,21000
162,female,12,77,21000
173,female,17,25,21000
168,female,12,52,5000
181,female,17,36,22000
185,male,14,26,30000
156,female,14,58,123000
161,female,9,45,8000
163,female,9,25,2000
170,female,6,62,7600
160,female,12,25,10000
185,male,12,48,35000
168,female,16,57,15000
177,female,12,22,4000
172,male,8,24,16000
170,female,12,33,200
188,male,16,25,23000
162,female,16,27,16000
153,female,12,49,6000
151,female,9,46,600
189,male,16,34,28000
168,female,8,66,4000
163,male,12,35,15000
181,male,12,25,15000
160,female,12,30,25000
171,female,12,26,15000
174,male,11,44,40000
179,male,11,51,30000
169,female,12,29,5000
187,male,14,34,35000
165,female,14,31,16000
161,female,16,40,28000
172,male,15,42,20000
167,male,13,30,21000
175,male,12,42,17000
152,female,13,50,24000
154,female,12,75,25000
191,male,12,46,40000
162,female,13,19,8000
159,female,15,45,19000
171,female,16,69,45000
163,male,17,33,5000
161,female,14,40,24000
170,female,14,19,5000
167,male,16,34,33000
166,female,14,24,24000
159,female,13,23,6000
169,female,14,55,90000
163,female,18,47,57000
180,male,14,54,13800
181,male,18,37,30000
182,male,12,40,15000
152,female,14,75,15000
177,male,12,29,31000
188,male,17,40,33000
172,male,18,61,30000
189,male,12,38,12000
191,male,12,22,5000
173,male,12,59,21000
159,female,18,46,28000
183,male,12,31,12000
164,female,12,46,19000
159,female,14,35,6000
167,female,13,60,5300
155,female,13,28,15000
186,male,12,46,17000
166,female,12,78,4700
158,female,12,65,9500
164,male,12,22,1700
158,female,12,31,5400
173,male,12,31,10000
150,female,15,83,25000
174,female,16,43,35000
159,female,18,44,28000
159,female,12,40,42000
172,male,12,58,45000
163,female,12,51,55000
178,female,16,30,36000
178,male,10,31,25000
183,male,12,28,19000
175,male,11,50,38000
160,female,14,37,15000
147,female,5,85,4500
160,female,14,27,96000
159,female,12,47,11000
184,male,15,34,9000
176,female,14,24,5000
177,male,12,51,50000
165,female,13,44,6000
182,male,13,22,100000
157,female,13,46,16500
182,male,14,40,32000
185,male,18,41,30000
172,female,16,42,10000
168,female,12,19,15000
152,female,8,83,6500
153,female,18,63,26000
165,female,12,59,17000
160,female,18,59,22000
162,female,12,41,10000
179,male,14,58,50000
171,male,12,35,20000
160,female,12,31,400
165,female,14,59,16000
169,female,12,66,10000
160,female,13,58,14000
166,female,15,20,5000
187,male,16,34,40000
171,female,13,55,5000
172,female,17,47,25000
166,female,12,51,12000
162,female,16,34,58000
172,female,16,26,18000
166,male,12,18,1000
182,male,17,47,21000
167,male,12,62,11000
162,female,12,36,13000
151,female,16,88,20000
182,male,12,35,25000
161,female,12,43,600
171,male,14,26,25000
172,male,12,28,36000
163,female,13,33,15000
167,female,12,51,3500
164,female,16,34,19005
179,male,14,54,62000
178,male,12,42,25000
168,male,12,52,50000
167,male,12,61,40000
187,male,18,26,26000
158,female,12,48,22000
167,female,17,39,21000
158,female,12,65,6108
164,female,18,64,30000
161,female,12,78,6000
180,male,16,29,27000
167,female,16,42,4000
156,female,6,72,4416
160,female,10,87,5000
169,male,18,40,45000
154,female,14,45,18000
169,female,15,22,6000
184,male,12,24,14000
176,female,14,24,35000
163,female,16,29,15000
159,female,12,29,12000
151,female,12,47,1000
177,male,15,33,32000
185,male,12,19,1500
165,female,16,23,3000
163,female,12,42,35000
182,male,15,48,70000
171,female,16,28,21000
176,male,11,18,50000
180,male,9,21,15000
168,female,8,35,9000
161,female,14,25,10000
181,male,12,47,30000
183,male,14,21,16000
173,male,12,51,20000
183,male,17,54,100000
167,female,12,43,10000
169,male,14,63,35000
166,female,16,31,7000
181,male,14,27,8000
187,male,10,50,11000
178,male,9,47,25000
163,female,14,45,25000
176,male,14,48,30000
160,female,18,34,48000
173,female,12,46,17000
184,male,16,24,26000
159,female,12,61,10000
181,male,18,53,60000
165,female,18,29,22000
163,female,13,83,6200
164,female,16,32,24000
180,male,14,40,20000
177,female,14,30,7000
172,female,16,48,30000
168,female,18,28,23000
164,female,12,40,20000
167,female,16,29,3000
177,male,16,41,30000
162,female,14,23,12000
179,male,12,38,40000
162,female,14,23,15000
161,female,16,45,36000
168,female,12,53,10000
174,female,14,48,13000
156,female,12,27,10000
174,male,12,37,30000
164,male,13,32,23000
177,male,17,68,20000
166,female,13,82,19000
154,male,11,66,20000
163,male,14,63,28000
164,female,10,80,13000
163,male,12,75,12000
176,male,11,23,20000
187,male,12,30,25000
173,female,13,52,25000
169,female,16,40,18000
157,female,10,68,6000
183,male,13,23,16000
187,male,16,38,45000
177,male,14,69,25000
161,female,14,38,12000
173,female,12,18,2000
160,female,12,18,10000
180,male,12,36,14000
162,female,12,31,15000
153,female,12,39,10000
167,female,4,64,1200
150,female,14,62,15000
160,female,13,64,10000
168,male,12,18,2000
166,female,13,33,4000
164,female,14,32,10000
167,female,12,23,1500
166,male,17,26,18000
185,male,15,24,4000
184,male,16,26,28000
189,female,14,22,10000
164,female,16,22,3000
179,male,12,21,12000
173,female,13,45,19000
179,male,16,39,36000
163,female,16,59,7000
149,female,11,34,35000
172,male,18,43,40000
173,male,14,25,15000
175,female,13,43,8000
176,female,14,55,25000
191,male,18,38,28000
176,male,14,35,22000
183,male,13,24,21500
174,female,12,23,3000
182,male,13,28,23000
184,male,12,73,18000
171,male,16,71,20000
161,female,12,46,16000
176,male,12,26,15000
160,female,17,32,53000
184,male,12,27,26000
166,female,12,28,4000
185,male,16,59,10000
176,male,12,51,43000
175,male,14,33,17000
156,female,12,38,4000
186,male,15,48,50000
170,female,18,51,55000
160,female,16,41,28000
158,female,14,48,5000
166,female,13,49,18000
182,male,15,62,21000
171,female,12,33,12000
166,female,16,62,33000
184,male,13,64,50000
166,female,9,74,6000
162,female,14,59,16000
173,male,12,50,35000
173,female,12,43,25000
194,male,14,26,20000
159,female,12,36,18000
189,male,14,78,34000
174,male,16,25,25000
183,male,17,77,20000
172,male,12,69,33000
164,female,12,73,4000
153,female,8,77,20000
184,male,16,33,40000
162,female,14,40,14000
173,female,12,48,12000
155,female,12,31,25000
170,female,10,72,70000
171,female,17,55,38000
160,female,12,28,14000
153,female,13,37,15000
187,male,16,31,17000
175,male,14,66,60000
170,female,15,69,15000
165,male,16,86,25000
158,male,12,63,18000
182,male,18,47,70000
164,female,18,59,30000
158,female,12,51,8000
180,male,16,34,30000
181,male,14,32,27000
178,male,18,43,47000
169,male,12,22,12000
157,female,17,34,24000
160,female,12,35,13000
154,female,14,37,80000
182,male,12,18,5000
159,female,10,60,25000
167,male,12,44,28000
163,female,15,20,8000
169,female,13,51,10000
173,female,14,41,9000
151,female,12,37,20000
166,male,12,71,12000
165,female,14,66,15000
156,female,14,36,20000
162,female,14,36,28000
168,female,15,21,265
176,male,14,74,35000
168,female,14,32,26000
169,female,17,34,27000
174,female,12,30,14000
166,male,16,33,32000
176,female,14,32,10000
176,male,16,30,7000
180,male,17,46,28000
188,male,13,54,60000
174,male,4,62,12000
191,female,13,75,15000
183,male,11,63,15000
164,female,15,32,26000
182,male,16,25,26000
159,female,10,36,18720
162,female,12,73,12000
179,male,17,39,80000
169,female,13,39,48000
159,male,16,27,18000
177,male,15,65,85000
162,female,12,47,35000
175,male,16,22,5000
163,female,13,22,9000
171,female,16,27,30000
182,male,14,58,80000
165,female,16,32,35000
161,female,14,34,12000
177,male,18,34,200000
163,female,16,45,4000
173,male,12,18,2000
168,female,18,69,24000
168,male,15,23,2000
177,male,17,30,15000
158,female,12,65,6000
167,male,12,75,5000
169,female,12,21,1500
161,female,18,48,28000
178,female,12,35,9000
188,male,14,52,60000
166,male,12,19,1200
157,female,3,64,1400
169,female,13,43,7000
158,female,12,31,21000
175,male,12,58,44000
172,male,16,36,29000
182,male,14,18,3000
163,male,13,22,12000
184,male,12,28,20000
157,female,5,73,1200
187,male,16,25,37000
168,male,10,60,8000
172,male,16,30,35000
157,male,14,37,25000
181,female,10,29,18000
159,female,16,36,30000
176,male,18,69,20000
181,male,6,40,12000
167,female,12,68,10000
183,male,14,48,18000
183,male,12,26,20000
172,female,16,43,31000
161,male,10,36,6000
177,male,13,40,12000
169,female,16,33,13000
169,female,17,34,26000
173,female,11,31,15000
162,female,17,28,30000
164,female,14,41,2000
178,male,13,22,5000
181,female,14,26,53000
157,female,13,18,2000
180,male,17,29,25000
189,male,12,18,5000
163,female,13,27,21000
177,female,15,27,17000
163,female,13,37,12000
177,male,14,44,42000
187,male,12,33,21000
159,female,12,65,6000
187,male,14,24,25000
168,female,14,19,3000
166,female,15,67,3600
180,male,12,19,4000
174,male,14,58,20000
153,male,15,50,52000
163,female,12,43,60000
162,female,13,41,15000
183,male,16,50,90000
156,female,14,65,26000
174,male,12,21,2000
170,female,12,61,16000
164,female,11,27,24000
173,male,16,28,15000
189,male,17,43,42000
166,female,12,43,10000
180,male,13,36,17000
164,female,14,34,30000
175,female,17,37,32000
164,female,17,34,36000
183,male,13,20,10000
159,female,15,29,20000
165,female,12,29,24000
182,male,12,32,17000
165,female,14,48,23000
163,female,12,33,25000
180,male,12,50,50000
157,female,12,30,20000
168,female,16,33,30000
163,female,10,39,7000
170,male,10,78,7000
173,male,11,32,30000
167,female,12,24,3000
168,female,14,43,20000
167,female,16,59,40000
170,male,12,77,10000
168,male,12,37,16000
161,female,9,51,11000
172,female,13,43,16000
179,male,12,27,18000
159,female,16,26,12000
178,male,14,21,4000
182,male,12,45,60000
190,male,17,40,43000
157,female,14,39,31000
173,female,17,39,50000
173,female,14,29,27000
179,male,17,56,30000
186,male,13,21,12000
158,female,17,30,20000
152,female,12,76,15000
163,female,16,37,25000
153,female,6,67,2000
186,male,15,20,3000
168,female,18,48,110000
175,male,18,71,55000
179,male,18,53,58000
178,female,16,36,10000
183,male,12,29,19000
155,female,18,82,15000
162,female,12,33,8000
183,male,12,50,60000
174,male,12,27,6000